"ZIP
code [1]",Size of adjusted gross income,Amount
,,
52214,,"85,101"
52214,"$1 under $25,000",5691
52214,"$25,000 under $50,000",12441
52214,"$50,000 under $75,000",14665
52214,"$75,000 under $100,000",16555
52214,"$100,000 under $200,000",25279
52214,"$200,000 or more",10470
,,
52215,,"18,127"
52215,"$1 under $25,000",1848
52215,"$25,000 under $50,000",4039
52215,"$50,000 under $75,000",4405
52215,"$75,000 under $100,000",3239
52215,"$100,000 under $200,000",4596
52215,"$200,000 or more",**
,,
52216,,"37,583"
52216,"$1 under $25,000",2738
52216,"$25,000 under $50,000",6871
52216,"$50,000 under $75,000",8032
52216,"$75,000 under $100,000",7307
52216,"$100,000 under $200,000",12635
52216,"$200,000 or more",**
,,
52217,,"11,654"
52217,"$1 under $25,000",1077
52217,"$25,000 under $50,000",2813
52217,"$50,000 under $75,000",4603
52217,"$75,000 under $100,000",**
52217,"$100,000 under $200,000",3161
52217,"$200,000 or more",**
,,
52218,,"41,500"
52218,"$1 under $25,000",2735
52218,"$25,000 under $50,000",6548
52218,"$50,000 under $75,000",7843
52218,"$75,000 under $100,000",9028
52218,"$100,000 under $200,000",15346
52218,"$200,000 or more",**
,,
52222,,"14,558"
52222,"$1 under $25,000",1360
52222,"$25,000 under $50,000",2979
52222,"$50,000 under $75,000",3586
52222,"$75,000 under $100,000",3332
52222,"$100,000 under $200,000",3301
52222,"$200,000 or more",**
,,
52223,,"39,639"
52223,"$1 under $25,000",2876
52223,"$25,000 under $50,000",6484
52223,"$50,000 under $75,000",6913
52223,"$75,000 under $100,000",6772
52223,"$100,000 under $200,000",16594
52223,"$200,000 or more",**
,,
52224,,"63,531"
52224,"$1 under $25,000",3756
52224,"$25,000 under $50,000",7190
52224,"$50,000 under $75,000",8909
52224,"$75,000 under $100,000",11363
52224,"$100,000 under $200,000",19642
52224,"$200,000 or more",12671
,,
52225,,"9,731"
52225,"$1 under $25,000",1050
52225,"$25,000 under $50,000",2043
52225,"$50,000 under $75,000",1681
52225,"$75,000 under $100,000",1892
52225,"$100,000 under $200,000",3065
52225,"$200,000 or more",**
,,
52227,,"100,560"
52227,"$1 under $25,000",4098
52227,"$25,000 under $50,000",9345
52227,"$50,000 under $75,000",10590
52227,"$75,000 under $100,000",15728
52227,"$100,000 under $200,000",39802
52227,"$200,000 or more",20997
,,
52228,,"115,776"
52228,"$1 under $25,000",4585
52228,"$25,000 under $50,000",9847
52228,"$50,000 under $75,000",12983
52228,"$75,000 under $100,000",18346
52228,"$100,000 under $200,000",50232
52228,"$200,000 or more",19783
,,
52229,,"17,691"
52229,"$1 under $25,000",1492
52229,"$25,000 under $50,000",2809
52229,"$50,000 under $75,000",3187
52229,"$75,000 under $100,000",2199
52229,"$100,000 under $200,000",8004
52229,"$200,000 or more",**
,,
52231,,"8,688"
52231,"$1 under $25,000",657
52231,"$25,000 under $50,000",1455
52231,"$50,000 under $75,000",3912
52231,"$75,000 under $100,000",**
52231,"$100,000 under $200,000",2664
52231,"$200,000 or more",**
,,
52233,,"195,622"
52233,"$1 under $25,000",16290
52233,"$25,000 under $50,000",31045
52233,"$50,000 under $75,000",29547
52233,"$75,000 under $100,000",27354
52233,"$100,000 under $200,000",60541
52233,"$200,000 or more",30845
,,
52236,,"15,484"
52236,"$1 under $25,000",883
52236,"$25,000 under $50,000",1921
52236,"$50,000 under $75,000",2679
52236,"$75,000 under $100,000",2902
52236,"$100,000 under $200,000",7099
52236,"$200,000 or more",**
,,
52237,,"34,496"
52237,"$1 under $25,000",3171
52237,"$25,000 under $50,000",7610
52237,"$50,000 under $75,000",7808
52237,"$75,000 under $100,000",8040
52237,"$100,000 under $200,000",7867
52237,"$200,000 or more",**
,,
52240,,"856,746"
52240,"$1 under $25,000",74797
52240,"$25,000 under $50,000",124817
52240,"$50,000 under $75,000",112000
52240,"$75,000 under $100,000",100232
52240,"$100,000 under $200,000",204460
52240,"$200,000 or more",240440
,,
52241,,"712,066"
52241,"$1 under $25,000",42537
52241,"$25,000 under $50,000",83702
52241,"$50,000 under $75,000",85121
52241,"$75,000 under $100,000",66998
52241,"$100,000 under $200,000",186337
52241,"$200,000 or more",247371
,,
52245,,"722,509"
52245,"$1 under $25,000",38884
52245,"$25,000 under $50,000",69328
52245,"$50,000 under $75,000",83927
52245,"$75,000 under $100,000",88015
52245,"$100,000 under $200,000",236964
52245,"$200,000 or more",205391
,,
52246,,"702,317"
52246,"$1 under $25,000",47618
52246,"$25,000 under $50,000",73667
52246,"$50,000 under $75,000",71067
52246,"$75,000 under $100,000",63101
52246,"$100,000 under $200,000",186548
52246,"$200,000 or more",260316
,,
52247,,"137,161"
52247,"$1 under $25,000",10852
52247,"$25,000 under $50,000",24058
52247,"$50,000 under $75,000",23280
52247,"$75,000 under $100,000",24469
52247,"$100,000 under $200,000",35233
52247,"$200,000 or more",19269
,,
52248,,"51,173"
52248,"$1 under $25,000",3452
52248,"$25,000 under $50,000",7760
52248,"$50,000 under $75,000",7883
52248,"$75,000 under $100,000",7982
52248,"$100,000 under $200,000",13480
52248,"$200,000 or more",10616
,,
52249,,"26,432"
52249,"$1 under $25,000",1704
52249,"$25,000 under $50,000",3876
52249,"$50,000 under $75,000",5069
52249,"$75,000 under $100,000",4533
52249,"$100,000 under $200,000",11250
52249,"$200,000 or more",**
,,
52251,,"12,691"
52251,"$1 under $25,000",1035
52251,"$25,000 under $50,000",3228
52251,"$50,000 under $75,000",2851
52251,"$75,000 under $100,000",2505
52251,"$100,000 under $200,000",3072
52251,"$200,000 or more",0
,,
52253,,"93,311"
52253,"$1 under $25,000",5132
52253,"$25,000 under $50,000",12033
52253,"$50,000 under $75,000",13977
52253,"$75,000 under $100,000",18567
52253,"$100,000 under $200,000",34801
52253,"$200,000 or more",8801
,,
52254,,"19,449"
52254,"$1 under $25,000",2299
52254,"$25,000 under $50,000",4832
52254,"$50,000 under $75,000",4774
52254,"$75,000 under $100,000",3422
52254,"$100,000 under $200,000",4122
52254,"$200,000 or more",**
,,
52255,,"31,989"
52255,"$1 under $25,000",2062
52255,"$25,000 under $50,000",5163
52255,"$50,000 under $75,000",5855
52255,"$75,000 under $100,000",5381
52255,"$100,000 under $200,000",13528
52255,"$200,000 or more",**
,,
52257,,"6,341"
52257,"$1 under $25,000",402
52257,"$25,000 under $50,000",860
52257,"$50,000 under $75,000",1849
52257,"$75,000 under $100,000",3230
52257,"$100,000 under $200,000",**
52257,"$200,000 or more",**
,,
52301,,"96,310"
52301,"$1 under $25,000",7918
52301,"$25,000 under $50,000",17704
52301,"$50,000 under $75,000",18888
52301,"$75,000 under $100,000",18855
52301,"$100,000 under $200,000",24714
52301,"$200,000 or more",8231
,,
52302,,"1,300,303"
52302,"$1 under $25,000",71648
52302,"$25,000 under $50,000",151196
52302,"$50,000 under $75,000",173739
52302,"$75,000 under $100,000",197755
52302,"$100,000 under $200,000",445881
52302,"$200,000 or more",260084
,,
52305,,"17,472"
52305,"$1 under $25,000",1234
52305,"$25,000 under $50,000",2534
52305,"$50,000 under $75,000",3370
52305,"$75,000 under $100,000",3876
52305,"$100,000 under $200,000",6458
52305,"$200,000 or more",**
,,
52306,,"46,204"
52306,"$1 under $25,000",3701
52306,"$25,000 under $50,000",7495
52306,"$50,000 under $75,000",8739
52306,"$75,000 under $100,000",8013
52306,"$100,000 under $200,000",18256
52306,"$200,000 or more",**
,,
52309,,"8,575"
52309,"$1 under $25,000",824
52309,"$25,000 under $50,000",2137
52309,"$50,000 under $75,000",1798
52309,"$75,000 under $100,000",3816
52309,"$100,000 under $200,000",**
52309,"$200,000 or more",**
,,
52310,,"172,838"
52310,"$1 under $25,000",14009
52310,"$25,000 under $50,000",27347
52310,"$50,000 under $75,000",29851
52310,"$75,000 under $100,000",33028
52310,"$100,000 under $200,000",37628
52310,"$200,000 or more",30975
,,
52313,,"8,944"
52313,"$1 under $25,000",635
52313,"$25,000 under $50,000",1528
52313,"$50,000 under $75,000",2886
52313,"$75,000 under $100,000",3895
52313,"$100,000 under $200,000",**
52313,"$200,000 or more",**
,,
52314,,"187,382"
52314,"$1 under $25,000",8218
52314,"$25,000 under $50,000",15865
52314,"$50,000 under $75,000",22210
52314,"$75,000 under $100,000",24813
52314,"$100,000 under $200,000",62866
52314,"$200,000 or more",53410
,,
52315,,"33,380"
52315,"$1 under $25,000",1885
52315,"$25,000 under $50,000",5137
52315,"$50,000 under $75,000",6321
52315,"$75,000 under $100,000",7711
52315,"$100,000 under $200,000",12326
52315,"$200,000 or more",**
,,
52316,,"37,137"
52316,"$1 under $25,000",3236
52316,"$25,000 under $50,000",7156
52316,"$50,000 under $75,000",8287
52316,"$75,000 under $100,000",7432
52316,"$100,000 under $200,000",11026
52316,"$200,000 or more",**
,,
52317,,"650,684"
52317,"$1 under $25,000",29046
52317,"$25,000 under $50,000",90102
52317,"$50,000 under $75,000",106387
52317,"$75,000 under $100,000",99975
52317,"$100,000 under $200,000",212500
52317,"$200,000 or more",112674
,,
52318,,"28,972"
52318,"$1 under $25,000",2057
52318,"$25,000 under $50,000",5622
52318,"$50,000 under $75,000",5114
52318,"$75,000 under $100,000",5537
52318,"$100,000 under $200,000",10642
52318,"$200,000 or more",**
,,
52320,,"24,952"
52320,"$1 under $25,000",2069
52320,"$25,000 under $50,000",5651
52320,"$50,000 under $75,000",4802
52320,"$75,000 under $100,000",5229
52320,"$100,000 under $200,000",7201
52320,"$200,000 or more",**
,,
52321,,"8,921"
52321,"$1 under $25,000",750
52321,"$25,000 under $50,000",2107
52321,"$50,000 under $75,000",2343
52321,"$75,000 under $100,000",3721
52321,"$100,000 under $200,000",**
52321,"$200,000 or more",**
,,
52322,,"75,649"
52322,"$1 under $25,000",4355
52322,"$25,000 under $50,000",11496
52322,"$50,000 under $75,000",11765
52322,"$75,000 under $100,000",13994
52322,"$100,000 under $200,000",21638
52322,"$200,000 or more",12401
,,
52323,,"14,409"
52323,"$1 under $25,000",1984
52323,"$25,000 under $50,000",3196
52323,"$50,000 under $75,000",2834
52323,"$75,000 under $100,000",3404
52323,"$100,000 under $200,000",2991
52323,"$200,000 or more",**
,,
52324,,"67,703"
52324,"$1 under $25,000",2893
52324,"$25,000 under $50,000",7289
52324,"$50,000 under $75,000",8923
52324,"$75,000 under $100,000",11495
52324,"$100,000 under $200,000",30696
52324,"$200,000 or more",6407
,,
52325,,"22,468"
52325,"$1 under $25,000",1278
52325,"$25,000 under $50,000",3082
52325,"$50,000 under $75,000",3549
52325,"$75,000 under $100,000",3602
52325,"$100,000 under $200,000",10957
52325,"$200,000 or more",**
,,
52326,,"11,770"
52326,"$1 under $25,000",1135
52326,"$25,000 under $50,000",2441
52326,"$50,000 under $75,000",2964
52326,"$75,000 under $100,000",2509
52326,"$100,000 under $200,000",2721
52326,"$200,000 or more",0
,,
52327,,"107,178"
52327,"$1 under $25,000",4657
52327,"$25,000 under $50,000",12433
52327,"$50,000 under $75,000",16611
52327,"$75,000 under $100,000",19863
52327,"$100,000 under $200,000",33449
52327,"$200,000 or more",20165
,,
52328,,"151,827"
52328,"$1 under $25,000",3179
52328,"$25,000 under $50,000",4679
52328,"$50,000 under $75,000",9735
52328,"$75,000 under $100,000",13559
52328,"$100,000 under $200,000",64655
52328,"$200,000 or more",56020
,,
52329,,"19,704"
52329,"$1 under $25,000",1437
52329,"$25,000 under $50,000",3651
52329,"$50,000 under $75,000",4163
52329,"$75,000 under $100,000",3120
52329,"$100,000 under $200,000",7333
52329,"$200,000 or more",**
,,
52330,,"26,402"
52330,"$1 under $25,000",1271
52330,"$25,000 under $50,000",4011
52330,"$50,000 under $75,000",3419
52330,"$75,000 under $100,000",4488
52330,"$100,000 under $200,000",13213
52330,"$200,000 or more",**
,,
52332,,"54,254"
52332,"$1 under $25,000",3902
52332,"$25,000 under $50,000",8616
52332,"$50,000 under $75,000",8332
52332,"$75,000 under $100,000",10282
52332,"$100,000 under $200,000",16835
52332,"$200,000 or more",6287
,,
52333,,"305,599"
52333,"$1 under $25,000",8850
52333,"$25,000 under $50,000",19709
52333,"$50,000 under $75,000",26014
52333,"$75,000 under $100,000",37930
52333,"$100,000 under $200,000",110402
52333,"$200,000 or more",102694
,,
52334,,"10,940"
52334,"$1 under $25,000",805
52334,"$25,000 under $50,000",1583
52334,"$50,000 under $75,000",2607
52334,"$75,000 under $100,000",1955
52334,"$100,000 under $200,000",3990
52334,"$200,000 or more",**
,,
52335,,"12,425"
52335,"$1 under $25,000",1475
52335,"$25,000 under $50,000",3046
52335,"$50,000 under $75,000",3859
52335,"$75,000 under $100,000",4045
52335,"$100,000 under $200,000",**
52335,"$200,000 or more",**
,,
52336,,"68,595"
52336,"$1 under $25,000",4326
52336,"$25,000 under $50,000",9247
52336,"$50,000 under $75,000",12192
52336,"$75,000 under $100,000",12326
52336,"$100,000 under $200,000",20929
52336,"$200,000 or more",9575
,,
52337,,"19,037"
52337,"$1 under $25,000",1513
52337,"$25,000 under $50,000",3717
52337,"$50,000 under $75,000",4718
52337,"$75,000 under $100,000",4377
52337,"$100,000 under $200,000",4712
52337,"$200,000 or more",**
,,
52338,,"161,930"
52338,"$1 under $25,000",4309
52338,"$25,000 under $50,000",8504
52338,"$50,000 under $75,000",12726
52338,"$75,000 under $100,000",18648
52338,"$100,000 under $200,000",59256
52338,"$200,000 or more",58487
,,
52339,,"92,229"
52339,"$1 under $25,000",10746
52339,"$25,000 under $50,000",23842
52339,"$50,000 under $75,000",19088
52339,"$75,000 under $100,000",12432
52339,"$100,000 under $200,000",26121
52339,"$200,000 or more",**
,,
52340,,"86,616"
52340,"$1 under $25,000",4574
52340,"$25,000 under $50,000",13044
52340,"$50,000 under $75,000",14233
52340,"$75,000 under $100,000",16518
52340,"$100,000 under $200,000",29321
52340,"$200,000 or more",8926
,,
52341,,"49,925"
52341,"$1 under $25,000",1921
52341,"$25,000 under $50,000",3857
52341,"$50,000 under $75,000",4486
52341,"$75,000 under $100,000",6291
52341,"$100,000 under $200,000",16292
52341,"$200,000 or more",17078
,,
52342,,"71,248"
52342,"$1 under $25,000",7741
52342,"$25,000 under $50,000",16868
52342,"$50,000 under $75,000",13402
52342,"$75,000 under $100,000",15003
52342,"$100,000 under $200,000",18234
52342,"$200,000 or more",**
,,
52345,,"41,679"
52345,"$1 under $25,000",2070
52345,"$25,000 under $50,000",4679
52345,"$50,000 under $75,000",6139
52345,"$75,000 under $100,000",10300
52345,"$100,000 under $200,000",18491
52345,"$200,000 or more",**
,,
52346,,"35,359"
52346,"$1 under $25,000",1695
52346,"$25,000 under $50,000",4689
52346,"$50,000 under $75,000",5933
52346,"$75,000 under $100,000",6760
52346,"$100,000 under $200,000",16282
52346,"$200,000 or more",**
,,
52347,,"43,390"
52347,"$1 under $25,000",2534
52347,"$25,000 under $50,000",7323
52347,"$50,000 under $75,000",7436
52347,"$75,000 under $100,000",8583
52347,"$100,000 under $200,000",17514
52347,"$200,000 or more",**
,,
52349,,"192,074"
52349,"$1 under $25,000",13864
52349,"$25,000 under $50,000",31337
52349,"$50,000 under $75,000",33280
52349,"$75,000 under $100,000",33839
52349,"$100,000 under $200,000",53423
52349,"$200,000 or more",26331
,,
52351,,"59,582"
52351,"$1 under $25,000",1820
52351,"$25,000 under $50,000",3800
52351,"$50,000 under $75,000",5254
52351,"$75,000 under $100,000",7998
52351,"$100,000 under $200,000",28415
52351,"$200,000 or more",12295
,,
52352,,"53,909"
52352,"$1 under $25,000",3179
52352,"$25,000 under $50,000",6912
52352,"$50,000 under $75,000",10278
52352,"$75,000 under $100,000",9279
52352,"$100,000 under $200,000",18325
52352,"$200,000 or more",5936
,,
52353,,"230,385"
52353,"$1 under $25,000",20456
52353,"$25,000 under $50,000",41083
52353,"$50,000 under $75,000",45895
52353,"$75,000 under $100,000",39502
52353,"$100,000 under $200,000",54639
52353,"$200,000 or more",28810
,,
52354,,"12,755"
52354,"$1 under $25,000",779
52354,"$25,000 under $50,000",1677
52354,"$50,000 under $75,000",1873
52354,"$75,000 under $100,000",2695
52354,"$100,000 under $200,000",5731
52354,"$200,000 or more",**
,,
52355,,"6,188"
52355,"$1 under $25,000",564
52355,"$25,000 under $50,000",1179
52355,"$50,000 under $75,000",1651
52355,"$75,000 under $100,000",2794
52355,"$100,000 under $200,000",**
52355,"$200,000 or more",0
,,
52356,,"69,262"
52356,"$1 under $25,000",5039
52356,"$25,000 under $50,000",11735
52356,"$50,000 under $75,000",12866
52356,"$75,000 under $100,000",13593
52356,"$100,000 under $200,000",17160
52356,"$200,000 or more",8869
,,
52358,,"117,806"
52358,"$1 under $25,000",6071
52358,"$25,000 under $50,000",16260
52358,"$50,000 under $75,000",19978
52358,"$75,000 under $100,000",19512
52358,"$100,000 under $200,000",39072
52358,"$200,000 or more",16913
,,
52359,,"5,454"
52359,"$1 under $25,000",677
52359,"$25,000 under $50,000",1238
52359,"$50,000 under $75,000",1529
52359,"$75,000 under $100,000",2010
52359,"$100,000 under $200,000",**
52359,"$200,000 or more",**
,,
52361,,"159,306"
52361,"$1 under $25,000",7976
52361,"$25,000 under $50,000",18134
52361,"$50,000 under $75,000",25337
52361,"$75,000 under $100,000",27482
52361,"$100,000 under $200,000",45796
52361,"$200,000 or more",34581
,,
52362,,"22,808"
52362,"$1 under $25,000",1840
52362,"$25,000 under $50,000",4246
52362,"$50,000 under $75,000",5022
52362,"$75,000 under $100,000",3781
52362,"$100,000 under $200,000",7919
52362,"$200,000 or more",**
,,
52401,,"38,883"
52401,"$1 under $25,000",4727
52401,"$25,000 under $50,000",7836
52401,"$50,000 under $75,000",5515
52401,"$75,000 under $100,000",2192
52401,"$100,000 under $200,000",6261
52401,"$200,000 or more",12352
,,
52402,,"1,192,365"
52402,"$1 under $25,000",79385
52402,"$25,000 under $50,000",180123
52402,"$50,000 under $75,000",196952
52402,"$75,000 under $100,000",187353
52402,"$100,000 under $200,000",356512
52402,"$200,000 or more",192040
,,
52403,,"881,497"
52403,"$1 under $25,000",46802
52403,"$25,000 under $50,000",97610
52403,"$50,000 under $75,000",94585
52403,"$75,000 under $100,000",94523
52403,"$100,000 under $200,000",208455
52403,"$200,000 or more",339522
,,
52404,,"876,182"
52404,"$1 under $25,000",96101
52404,"$25,000 under $50,000",198337
52404,"$50,000 under $75,000",167109
52404,"$75,000 under $100,000",146644
52404,"$100,000 under $200,000",208705
52404,"$200,000 or more",59286
,,
52405,,"681,296"
52405,"$1 under $25,000",52860
52405,"$25,000 under $50,000",126442
52405,"$50,000 under $75,000",129995
52405,"$75,000 under $100,000",125784
52405,"$100,000 under $200,000",195972
52405,"$200,000 or more",50243
,,
52411,,"483,697"
52411,"$1 under $25,000",8273
52411,"$25,000 under $50,000",11248
52411,"$50,000 under $75,000",18126
52411,"$75,000 under $100,000",31777
52411,"$100,000 under $200,000",162915
52411,"$200,000 or more",251358
,,
52501,,"615,330"
52501,"$1 under $25,000",65430
52501,"$25,000 under $50,000",138500
52501,"$50,000 under $75,000",118347
52501,"$75,000 under $100,000",92217
52501,"$100,000 under $200,000",130033
52501,"$200,000 or more",70803
,,
52530,,"36,828"
52530,"$1 under $25,000",2002
52530,"$25,000 under $50,000",4115
52530,"$50,000 under $75,000",5487
52530,"$75,000 under $100,000",5386
52530,"$100,000 under $200,000",19838
52530,"$200,000 or more",**
,,
52531,,"129,083"
52531,"$1 under $25,000",12238
52531,"$25,000 under $50,000",24674
52531,"$50,000 under $75,000",25602
52531,"$75,000 under $100,000",25691
52531,"$100,000 under $200,000",26818
52531,"$200,000 or more",14060
,,
52533,,"24,144"
52533,"$1 under $25,000",2728
52533,"$25,000 under $50,000",5155
52533,"$50,000 under $75,000",4823
52533,"$75,000 under $100,000",5194
52533,"$100,000 under $200,000",6244
52533,"$200,000 or more",**
,,
52534,,"5,846"
52534,"$1 under $25,000",607
52534,"$25,000 under $50,000",2979
52534,"$50,000 under $75,000",**
52534,"$75,000 under $100,000",2260
52534,"$100,000 under $200,000",**
52534,"$200,000 or more",**
,,
52535,,"17,369"
52535,"$1 under $25,000",1720
52535,"$25,000 under $50,000",4431
52535,"$50,000 under $75,000",4598
52535,"$75,000 under $100,000",3575
52535,"$100,000 under $200,000",3045
52535,"$200,000 or more",**
,,
52536,,"21,354"
52536,"$1 under $25,000",1650
52536,"$25,000 under $50,000",3885
52536,"$50,000 under $75,000",5299
52536,"$75,000 under $100,000",4750
52536,"$100,000 under $200,000",5770
52536,"$200,000 or more",**
,,
52537,,"143,560"
52537,"$1 under $25,000",12362
52537,"$25,000 under $50,000",27115
52537,"$50,000 under $75,000",28382
52537,"$75,000 under $100,000",25469
52537,"$100,000 under $200,000",36736
52537,"$200,000 or more",13496
,,
52540,,"30,172"
52540,"$1 under $25,000",3307
52540,"$25,000 under $50,000",6635
52540,"$50,000 under $75,000",6389
52540,"$75,000 under $100,000",3941
52540,"$100,000 under $200,000",9900
52540,"$200,000 or more",**
,,
52542,,"7,772"
52542,"$1 under $25,000",1023
52542,"$25,000 under $50,000",1759
52542,"$50,000 under $75,000",1578
52542,"$75,000 under $100,000",3412
52542,"$100,000 under $200,000",**
52542,"$200,000 or more",**
,,
52543,,"7,738"
52543,"$1 under $25,000",891
52543,"$25,000 under $50,000",**
52543,"$50,000 under $75,000",2928
52543,"$75,000 under $100,000",**
52543,"$100,000 under $200,000",3919
52543,"$200,000 or more",**
,,
52544,,"138,795"
52544,"$1 under $25,000",18720
52544,"$25,000 under $50,000",32325
52544,"$50,000 under $75,000",28531
52544,"$75,000 under $100,000",23586
52544,"$100,000 under $200,000",25720
52544,"$200,000 or more",9913
,,
52549,,"11,952"
52549,"$1 under $25,000",1696
52549,"$25,000 under $50,000",2715
52549,"$50,000 under $75,000",2439
52549,"$75,000 under $100,000",5102
52549,"$100,000 under $200,000",**
52549,"$200,000 or more",**
,,
52550,,"9,135"
52550,"$1 under $25,000",1302
52550,"$25,000 under $50,000",2352
52550,"$50,000 under $75,000",2297
52550,"$75,000 under $100,000",3184
52550,"$100,000 under $200,000",**
52550,"$200,000 or more",**
,,
52551,,"13,238"
52551,"$1 under $25,000",1518
52551,"$25,000 under $50,000",2934
52551,"$50,000 under $75,000",3011
52551,"$75,000 under $100,000",2222
52551,"$100,000 under $200,000",3553
52551,"$200,000 or more",**
,,
52552,,"12,905"
52552,"$1 under $25,000",1204
52552,"$25,000 under $50,000",3144
52552,"$50,000 under $75,000",3000
52552,"$75,000 under $100,000",2405
52552,"$100,000 under $200,000",3152
52552,"$200,000 or more",**
,,
52553,,"38,010"
52553,"$1 under $25,000",3142
52553,"$25,000 under $50,000",7621
52553,"$50,000 under $75,000",7254
52553,"$75,000 under $100,000",7403
52553,"$100,000 under $200,000",12590
52553,"$200,000 or more",**
,,
52554,,"22,480"
52554,"$1 under $25,000",3047
52554,"$25,000 under $50,000",5658
52554,"$50,000 under $75,000",5906
52554,"$75,000 under $100,000",4099
52554,"$100,000 under $200,000",3770
52554,"$200,000 or more",**
,,
52555,,"5,058"
52555,"$1 under $25,000",650
52555,"$25,000 under $50,000",1272
52555,"$50,000 under $75,000",3136
52555,"$75,000 under $100,000",**
52555,"$100,000 under $200,000",**
52555,"$200,000 or more",0
,,
52556,,"362,097"
52556,"$1 under $25,000",29094
52556,"$25,000 under $50,000",51184
52556,"$50,000 under $75,000",44008
52556,"$75,000 under $100,000",42770
52556,"$100,000 under $200,000",61357
52556,"$200,000 or more",133684
,,
52560,,"7,846"
52560,"$1 under $25,000",900
52560,"$25,000 under $50,000",1598
52560,"$50,000 under $75,000",2030
52560,"$75,000 under $100,000",3318
52560,"$100,000 under $200,000",**
52560,"$200,000 or more",**
,,
52561,,"19,380"
52561,"$1 under $25,000",1545
52561,"$25,000 under $50,000",4141
52561,"$50,000 under $75,000",4172
52561,"$75,000 under $100,000",3846
52561,"$100,000 under $200,000",5676
52561,"$200,000 or more",**
,,
52563,,"32,997"
52563,"$1 under $25,000",2797
52563,"$25,000 under $50,000",6235
52563,"$50,000 under $75,000",7217
52563,"$75,000 under $100,000",6538
52563,"$100,000 under $200,000",10210
52563,"$200,000 or more",**
,,
52565,,"47,157"
52565,"$1 under $25,000",4020
52565,"$25,000 under $50,000",8533
52565,"$50,000 under $75,000",8164
52565,"$75,000 under $100,000",8177
52565,"$100,000 under $200,000",10229
52565,"$200,000 or more",8034
,,
52567,,"14,495"
52567,"$1 under $25,000",983
52567,"$25,000 under $50,000",3739
52567,"$50,000 under $75,000",3614
52567,"$75,000 under $100,000",3028
52567,"$100,000 under $200,000",3131
52567,"$200,000 or more",**
,,
52569,,"12,751"
52569,"$1 under $25,000",1319
52569,"$25,000 under $50,000",2832
52569,"$50,000 under $75,000",2965
52569,"$75,000 under $100,000",5635
52569,"$100,000 under $200,000",**
52569,"$200,000 or more",**
,,
52570,,"11,837"
52570,"$1 under $25,000",1836
52570,"$25,000 under $50,000",3591
52570,"$50,000 under $75,000",2428
52570,"$75,000 under $100,000",3982
52570,"$100,000 under $200,000",**
52570,"$200,000 or more",**
,,
52571,,"30,768"
52571,"$1 under $25,000",2997
52571,"$25,000 under $50,000",7050
52571,"$50,000 under $75,000",6278
52571,"$75,000 under $100,000",4981
52571,"$100,000 under $200,000",9462
52571,"$200,000 or more",**
,,
52572,,"16,571"
52572,"$1 under $25,000",2210
52572,"$25,000 under $50,000",4402
52572,"$50,000 under $75,000",4873
52572,"$75,000 under $100,000",2547
52572,"$100,000 under $200,000",2539
52572,"$200,000 or more",**
,,
52574,,"13,907"
52574,"$1 under $25,000",1658
52574,"$25,000 under $50,000",3983
52574,"$50,000 under $75,000",3998
52574,"$75,000 under $100,000",4268
52574,"$100,000 under $200,000",**
52574,"$200,000 or more",**
,,
52576,,"10,956"
52576,"$1 under $25,000",1038
52576,"$25,000 under $50,000",3008
52576,"$50,000 under $75,000",2035
52576,"$75,000 under $100,000",4875
52576,"$100,000 under $200,000",**
52576,"$200,000 or more",**
,,
52577,,"359,304"
52577,"$1 under $25,000",28786
52577,"$25,000 under $50,000",60969
52577,"$50,000 under $75,000",68133
52577,"$75,000 under $100,000",55987
52577,"$100,000 under $200,000",80230
52577,"$200,000 or more",65199
,,
52580,,"12,611"
52580,"$1 under $25,000",682
52580,"$25,000 under $50,000",2456
52580,"$50,000 under $75,000",2202
52580,"$75,000 under $100,000",1931
52580,"$100,000 under $200,000",5340
52580,"$200,000 or more",**
,,
52581,,"6,109"
52581,"$1 under $25,000",612
52581,"$25,000 under $50,000",1715
52581,"$50,000 under $75,000",1777
52581,"$75,000 under $100,000",2005
52581,"$100,000 under $200,000",**
52581,"$200,000 or more",0
,,
52583,,"5,708"
52583,"$1 under $25,000",551
52583,"$25,000 under $50,000",1768
52583,"$50,000 under $75,000",3389
52583,"$75,000 under $100,000",**
52583,"$100,000 under $200,000",**
52583,"$200,000 or more",**
,,
52584,,"6,801"
52584,"$1 under $25,000",1056
52584,"$25,000 under $50,000",1620
52584,"$50,000 under $75,000",1744
52584,"$75,000 under $100,000",2381
52584,"$100,000 under $200,000",**
52584,"$200,000 or more",0
,,
52585,,"24,956"
52585,"$1 under $25,000",1557
52585,"$25,000 under $50,000",4805
52585,"$50,000 under $75,000",4363
52585,"$75,000 under $100,000",4427
52585,"$100,000 under $200,000",9804
52585,"$200,000 or more",**
,,
52586,,"12,523"
52586,"$1 under $25,000",1200
52586,"$25,000 under $50,000",2129
52586,"$50,000 under $75,000",3820
52586,"$75,000 under $100,000",**
52586,"$100,000 under $200,000",5374
52586,"$200,000 or more",**
,,
52590,,"17,448"
52590,"$1 under $25,000",2488
52590,"$25,000 under $50,000",5336
52590,"$50,000 under $75,000",4012
52590,"$75,000 under $100,000",2867
52590,"$100,000 under $200,000",2745
52590,"$200,000 or more",**
,,
52591,,"69,179"
52591,"$1 under $25,000",5211
52591,"$25,000 under $50,000",13479
